title,Element number,NIH Value,Element title,Generated Content
Human genomic data,element_4b,"Our dataset will be registered in dbGaP and assigned a phsID. Data will be findable and identifiable via the 
standard data indexing tools in AnVIL (currently the AnVIL catalog). We will reference the accession number(s) 
for our dataset(s) in all relevant future publications.",,
Technology development,element_4b,"Our dataset will be registered in dbGaP and assigned a phsID. Data will be findable and identifiable using via the 
standard data indexing tools in AnVIL (currently the AnVIL catalog). We will reference the accession number(s) 
for our dataset(s) in all relevant future publications",,
Basic Research from a Non-Human Source Example,element_4b,"GEO provides metadata, persistent identifiers (accession numbers), and long-term access. This repository is supported by NCBI. Datasets 
are available under an open access policy. Unique identifiers associated with the data will be referenced in the corresponding publications.",,
Secondary Data Analysis Example,element_4b,"The data will be associated with the subjects within the dbGaP. Links to the parent and sub-study datasets will be included in the 
publication. ",,
Survey and Interview Example,element_4b,"All shared data and metadata will be findable and identifiable using the standard data indexing tools in AnVIL which will 
assign unique persistent identifiers to data and metadata files that can be referenced. Links to the AnVIL workspace(s) 
where data can be found will be included in all publications, progress reports, and on the PI’s academic home page.",,
Human Clinical Trial Data,element_4b,"DASH creates a DOI for each study. We will submit a request to MIDRC to create a persistent identifier 
for the study and will list the other study persistent identifier on the repository study pages. Potential new users from other organizations can find out about our data and identify whether it could 
be suitable for their research purposes through summary information (metadata) that will be readily 
available on our study website, the repository websites, and clinicaltrials.gov.",,
Clinical data from human research participants-NIA,element_4b,Clinical data will be findable using a Digital Object Identifier (DOI) assigned by [Repository Name Here]. ,,
"Survey, interview, and biological data (tiered access)",element_4b,"Data will be assigned a Digital Object Identifier (DOI) and will be searchable via [Repository Name Here]
and other search engines. ",,
Non-human data (primates),element_4b,Data and metadata will be assigned a DOI via [Repository Name Here] for indexing and searchability.,,
Secondary data analysis-NIA,element_4b,"Codes deposited on [Code Repository Name Here] will be indexed and searchable, preferably with a 
unique data object identifier (DOI)",,
Survey and interview data-NIA,element_4b,"Data and metadata will be assigned a unique Digital Object Identifier (DOI) and a formal study citation 
by the repository.",,
